time,brightness,sun_x,sun_y,sun_z,observer_x,observer_y,observer_z
0.000,0.634204,-0.199943,-0.239925,-0.949978,-0.130430,0.822520,-0.553579
1.000,0.909039,0.439055,-0.353203,-0.826122,-0.299949,0.160213,-0.940406
2.000,0.485157,0.195769,0.980591,0.010711,0.787182,0.132477,-0.602325
3.000,0.373257,0.181694,0.967013,0.178531,0.058624,-0.149630,-0.987002
4.000,0.021068,0.315448,-0.862239,0.396279,-0.389288,0.611291,-0.689041
5.000,0.402203,0.493579,0.325313,-0.806567,0.562468,-0.800371,0.207452
6.000,0.653330,0.312014,-0.831589,0.459464,-0.315146,-0.073001,0.946232
7.000,0.955103,0.464836,-0.853077,0.237040,0.637878,-0.754439,0.154704
8.000,0.500380,-0.117756,-0.401287,-0.908351,0.125544,0.898225,-0.421224
9.000,0.233614,0.721552,0.531207,-0.444053,-0.633577,-0.724913,-0.270336
10.000,0.202341,-0.557836,0.592684,-0.580986,-0.051870,0.484397,0.873309
11.000,0.752565,0.422610,0.781924,0.458254,0.502386,0.830352,-0.241089
12.000,0.228392,0.957921,-0.063148,0.280000,-0.870475,-0.325490,0.369229
13.000,0.838002,0.046275,0.349482,-0.935800,-0.354012,0.811726,-0.464518
14.000,0.179224,0.112622,0.450156,0.885819,0.662362,-0.651075,-0.370644
15.000,0.182823,0.856377,-0.509751,-0.082296,-0.080484,0.858331,-0.506745
16.000,0.360288,-0.815617,-0.331064,-0.474517,-0.522205,-0.307001,0.795646
17.000,0.553727,0.999699,-0.015468,0.019053,0.356502,0.229111,-0.905767
18.000,0.151399,0.746420,0.614726,0.254892,0.258137,-0.953483,-0.155680
19.000,0.660794,0.998007,-0.024326,0.058229,0.680952,-0.125123,0.721559
20.000,0.263887,0.894955,0.064672,0.441444,-0.414892,-0.906861,0.073941
21.000,0.217897,0.757728,0.639396,-0.130469,-0.402148,0.120340,0.907632
22.000,0.588999,0.626250,-0.619574,-0.473222,-0.766116,-0.002821,-0.642696
23.000,0.305429,-0.287904,0.916452,0.277899,-0.557468,-0.455134,-0.694321
24.000,0.977465,0.078283,-0.993815,0.078758,0.178567,-0.982053,0.060707
25.000,0.981154,0.509481,0.062661,0.858197,0.541375,-0.516629,0.663331
26.000,0.000000,-0.165184,0.437028,-0.884150,0.322911,-0.310924,0.893899
27.000,0.149335,0.773997,0.359548,0.521204,0.066454,-0.665742,-0.743217
28.000,0.469143,-0.983051,0.153913,0.099607,-0.063027,0.664230,0.744866
29.000,0.206800,-0.861061,-0.217028,0.459862,0.279891,0.883096,-0.376567
30.000,0.060855,0.953573,-0.029072,0.299756,-0.924744,0.378963,0.035152
31.000,0.722269,-0.517369,0.837338,0.176617,0.103282,0.822326,-0.559565
32.000,0.653402,0.870588,0.416322,0.262206,0.077213,0.580152,0.810840
33.000,0.534914,0.070867,0.938490,0.337956,0.150996,0.660622,-0.735376
34.000,0.249303,0.909709,-0.390181,0.142086,-0.810081,0.140485,0.569239
35.000,0.209394,0.812365,0.566610,-0.137898,-0.884986,0.460924,-0.065951
36.000,0.290972,-0.122960,-0.929871,0.346729,0.592811,-0.059176,-0.803164
37.000,0.357141,0.558002,-0.660257,-0.502687,0.364961,0.925333,-0.102773
38.000,0.223380,-0.790718,0.422605,-0.442910,0.000647,0.532339,0.846531
39.000,0.000000,-0.416581,-0.136297,-0.898823,0.740494,-0.003338,0.672055
40.000,0.395778,0.512466,-0.101112,0.852734,0.432783,-0.606058,-0.667378
41.000,0.138736,-0.381940,0.273699,-0.882729,-0.174343,0.165849,0.970618
42.000,0.562504,-0.078490,0.819179,0.568141,-0.948855,0.275614,-0.153985
43.000,0.000000,-0.844889,-0.308794,0.436817,0.514491,0.754976,-0.406584
44.000,0.206389,0.968360,-0.192876,0.158361,-0.838011,-0.227530,0.495951
45.000,0.824895,-0.708656,-0.012693,0.705440,0.213290,0.324405,0.921558
46.000,0.013771,0.681443,0.375248,-0.628350,-0.774520,-0.526613,0.350425
47.000,0.293987,0.664873,-0.548012,-0.507569,-0.804805,-0.543398,0.238763
48.000,0.709657,-0.861626,0.479162,0.167345,-0.489033,-0.070486,0.869413
